,session_date,monkey,behavior_block_id,arm_posture_id
0,2018-04-13,Cousteau,0,0
1,2018-04-20,Cousteau,0,0
2,2018-06-15,Cousteau,0,0
3,2018-06-22,Cousteau,0,0
4,2018-07-18,Cousteau,0,0
5,2018-09-25,Cousteau,0,0
6,2018-10-02,Cousteau,0,0
7,2018-10-03,Cousteau,0,0
8,2018-10-05,Cousteau,0,0
9,2018-10-09,Cousteau,0,0
10,2018-10-11,Cousteau,0,0
11,2018-10-16,Cousteau,0,0
12,2018-10-23,Cousteau,0,0
13,2018-10-25,Cousteau,0,0
14,2018-10-26,Cousteau,0,0
15,2019-01-30,Cousteau,0,0
16,2019-02-01,Cousteau,0,0
17,2019-02-04,Cousteau,0,0
18,2019-02-06,Cousteau,0,0
19,2019-02-08,Cousteau,0,0
20,2019-02-12,Cousteau,0,0
21,2019-02-14,Cousteau,0,0
22,2019-02-19,Cousteau,0,0
23,2019-02-21,Cousteau,0,0
24,2019-02-26,Cousteau,0,0
25,2019-02-28,Cousteau,0,0
26,2019-05-20,Cousteau,0,1
27,2019-05-20,Cousteau,1,2
28,2019-05-20,Cousteau,2,1
29,2019-05-22,Cousteau,0,1
30,2019-05-22,Cousteau,1,2
31,2019-05-22,Cousteau,2,1
32,2019-05-24,Cousteau,0,1
33,2019-05-24,Cousteau,1,2
34,2019-05-24,Cousteau,2,1
35,2019-05-31,Cousteau,0,1
36,2019-05-31,Cousteau,1,2
37,2019-05-31,Cousteau,2,1
38,2019-06-06,Cousteau,0,1
39,2019-06-06,Cousteau,1,2
40,2019-06-06,Cousteau,2,1
41,2019-06-21,Cousteau,0,1
42,2019-06-21,Cousteau,1,2
43,2019-06-21,Cousteau,2,1
44,2019-08-13,Cousteau,0,0
45,2019-08-14,Cousteau,0,0
46,2019-08-15,Cousteau,0,0
47,2019-08-19,Cousteau,0,0
48,2019-08-26,Cousteau,0,0
49,2019-08-27,Cousteau,0,0
50,2019-08-28,Cousteau,0,0
51,2019-09-06,Cousteau,0,0
52,2019-09-09,Cousteau,0,0
53,2019-09-10,Cousteau,0,0
54,2019-09-11,Cousteau,0,1
55,2019-09-13,Cousteau,0,0
56,2019-09-18,Cousteau,0,0
57,2019-09-23,Cousteau,0,0
58,2019-09-24,Cousteau,0,0
59,2019-09-25,Cousteau,0,0
60,2019-09-26,Cousteau,0,0
61,2019-10-15,Cousteau,0,0
62,2019-10-17,Cousteau,0,0
63,2019-10-24,Cousteau,0,0
64,2019-10-25,Cousteau,0,0
65,2019-10-28,Cousteau,0,0
66,2019-10-29,Cousteau,0,0
67,2019-10-30,Cousteau,0,0
68,2019-11-01,Cousteau,0,0
69,2019-11-22,Cousteau,0,0
70,2019-11-25,Cousteau,0,0
71,2019-12-02,Cousteau,0,0
72,2019-12-03,Cousteau,0,0
73,2019-12-05,Cousteau,0,0
74,2019-12-10,Cousteau,0,0
75,2019-12-11,Cousteau,0,0
76,2019-12-12,Cousteau,0,0
77,2019-12-13,Cousteau,0,0
78,2019-12-16,Cousteau,0,0
79,2020-01-03,Cousteau,0,0
80,2020-01-06,Cousteau,0,0
81,2020-01-08,Cousteau,0,0
82,2020-01-10,Cousteau,0,0
